OTT,오리지널,제목,유형,공개일,출연진,장르,content_id
웨이브,오리지널,삼도천 택시,시리즈,2026-06-23,"양병열, 연이안, 지승현, 김병기",드라마,tmdb-wavve-tv-326304
티빙,오리지널,스트릿 레스토랑 파이터,예능,2026-06-21,"이연복, 에드워드권, 정호영, 홍석천","예능, 서바이벌",tvingads-tving-스트릿레스토랑파이터
웨이브,오리지널,스탠바이미,예능,2026-06-19,김승호,Reality,tmdb-wavve-tv-325128
웨이브,오리지널,거짓말이 사는 집,시리즈,2026-06-05,"김승범, 김경민, 이정호, 이승노, 백동현","드라마, Action & Adventure",tmdb-wavve-tv-321559
티빙,오리지널,수업시간그녀,시리즈,2026-05-31,"김명준, 지니, 이예인",드라마,tmdb-tving-tv-325032
티빙,오리지널,메추리 원정대,예능,2026-05-31,"말왕, 장성규",Reality,tmdb-tving-tv-324263
웨이브,오리지널,수업시간그녀,시리즈,2026-05-31,"김명준, 지니, 이예인",드라마,tmdb-wavve-tv-325032
웨이브,오리지널,메추리 원정대,예능,2026-05-31,"말왕, 장성규",Reality,tmdb-wavve-tv-324263
티빙,오리지널,신수 유치원,애니메이션,2026-05-29,,"애니메이션, Sci-Fi & Fantasy",tmdb-tving-tv-325302
웨이브,오리지널,신수 유치원,애니메이션,2026-05-29,,"애니메이션, Sci-Fi & Fantasy",tmdb-wavve-tv-325302
웨이브,오리지널,사이비 헌터,다큐,2026-05-19,,다큐멘터리,tmdb-wavve-tv-322922
웨이브,오리지널,TXT의 육아일기,예능,2026-05-01,"수빈, 연준, 범규, 태현, 휴닝카이",Reality,tmdb-wavve-tv-321261
웨이브,오리지널,바이트 미 스위트,예능,2026-04-17,"윤시윤, 차주완, 임성균, 이세온, 성승하",Reality,tmdb-wavve-tv-317475
웨이브,오리지널,리버스,시리즈,2026-04-17,"서지혜, 고수, 김재경, 구성환, 심형탁","미스터리, 드라마",tmdb-wavve-tv-284000
티빙,오리지널,구기동 프렌즈,예능,2026-04-10,"장도연, 이다희, 최다니엘, 장근석, 안재현",Reality,tmdb-tving-tv-319339
웨이브,오리지널,구기동 프렌즈,예능,2026-04-10,"장도연, 이다희, 최다니엘, 장근석, 안재현",Reality,tmdb-wavve-tv-319339
티빙,오리지널,2026 신한 SOL뱅크 KBO 리그,더보기,2026-03-28,,"더보기, 스포츠, 야구",tvingads-tving-2026신한SOL뱅크KBO리그
웨이브,오리지널,베팅 온 팩트,예능,2026-03-27,"장동민, 이용진, 진중권, 정영진, 김예원",Reality,tmdb-wavve-tv-317679
티빙,오리지널,예측불가,예능,2026-03-13,"김숙, 송은이, 이천희, 장우영, 빽가",Reality,tmdb-tving-tv-316507
티빙,오리지널,발작버튼,시리즈,2026-02-26,"신경진, 박지민",드라마,tmdb-tving-tv-315406
웨이브,오리지널,공양간의 셰프들,다큐,2026-02-13,"계호스님, 선재스님, 적문스님, 대안스님, 우관스님",다큐멘터리,tmdb-wavve-tv-313905
티빙,오리지널,러브&배틀,예능,2026-02-12,"김빛, 박결, 유훈, 김지은, 남하나",Reality,tmdb-tving-tv-313919
웨이브,오리지널,마니또 클럽,예능,2026-02-01,"추성훈, 노홍철, 이수지, 덱스, 제니",Reality,tmdb-wavve-tv-312175
티빙,오리지널,테러맨,애니메이션,2026-01-29,"이경태, 엄상현, 장미, 유영","Action & Adventure, 애니메이션, 미스터리",tmdb-tving-tv-308005
티빙,오리지널,쇼미더머니12: 야차의 세계,예능,2026-01-17,"Loopy, Reddy, APRO, YUNGIN, Hangzoo",Reality,tmdb-tving-tv-312751
티빙,오리지널,차가네,예능,2026-01-08,"차승원, 딘딘, 추성훈, Danny Koo",Reality,tmdb-tving-tv-310352
웨이브,오리지널,순간의 영원,시리즈,2025-12-26,"안솔빈, Heo Won-seo, Im So-yun, Jeon Soo-ah",드라마,tmdb-wavve-tv-309271
웨이브,오리지널,콘크리트마켓,시리즈,2025-12-23,"이재인, 홍경, 정만식, 유수빈, 김국희",드라마,tmdb-wavve-tv-156293
티빙,오리지널,체인지 스트릿,예능,2025-12-20,"허영지, 윤산하, 후이, Hynn, 이동휘",Reality,tmdb-tving-tv-308866
티빙,오리지널,응답하라 1988 10주년,예능,2025-12-19,"성동일, 이일화, 라미란, 김성균, 최무성",Reality,tmdb-tving-tv-308201
티빙,오리지널,빌런즈,시리즈,2025-12-18,"유지태, 곽도원, 이민정, 이범수, 김재용","드라마, 범죄",tmdb-tving-tv-197491
웨이브,오리지널,노엑싯게임룸,예능,2025-12-16,"빠니보틀, 서출구",Reality,tmdb-wavve-tv-308394
웨이브,오리지널,말자쇼,예능,2025-12-13,"김영희, 정범균","코미디, Talk",tmdb-wavve-tv-308229
웨이브,오리지널,되어줄래? 나의 매니저,시리즈,2025-12-12,"香音, 안준원, Yoon Do-jin, 양준범, 남민수",드라마,tmdb-wavve-tv-307674
티빙,오리지널,괴기열차: 디 오리지널,시리즈,2025-12-02,"주현영, 전배수, 최보민",미스터리,tmdb-tving-tv-307203
웨이브,오리지널,천둥구름 비바람,시리즈,2025-11-28,"윤지성, 정리우, Jang Won-hyuk, Lee Dong-ju, 황성윤",드라마,tmdb-wavve-tv-298567
티빙,오리지널,스몰토크를 멈추면 안 돼,예능,2025-11-20,유병재,Reality,tmdb-tving-tv-317132
웨이브,오리지널,최애와의 30분,예능,2025-11-19,신규진,"Talk, Reality",tmdb-wavve-tv-307662
웨이브,오리지널,제4차 사랑혁명,시리즈,2025-11-13,"김요한, 황보름별, 권영은, 허정도, 임성균","코미디, 드라마",tmdb-wavve-tv-303748
티빙,오리지널,슈퍼레이스 프리스타일,예능,2025-11-07,"김진표, 박준형, 데니 안, 유이, 윤보미",Reality,tmdb-tving-tv-304723
티빙,오리지널,친애하는 X,시리즈,2025-11-06,"김유정, 김영대, 김도훈, 이열음","범죄, 드라마",tmdb-tving-tv-256226
티빙,오리지널,마스크셰프,시리즈,2025-10-31,"서장훈, 정지선, 강레오, 김도윤",,tmdb-tving-tv-304518
웨이브,오리지널,마스크셰프,시리즈,2025-10-31,"서장훈, 정지선, 강레오, 김도윤",,tmdb-wavve-tv-304518
티빙,오리지널,스피릿 핑거스,시리즈,2025-10-29,"박지후, 조준영, 최보민, 박유나, 권소현","코미디, 드라마",tmdb-tving-tv-223896
티빙,오리지널,tvN X TVING 단편 드라마 큐레이션,시리즈,2025-10-03,"윤상정, 강나언, 장영남","가족, 코미디, 드라마, 미스터리",tmdb-tving-tv-302575
티빙,오리지널,비형전: 도깨비의 주인,시리즈,2025-10-02,"황재욱, 이차민, 강찬우, 남택준, Seo Hee-sun","드라마, Sci-Fi & Fantasy",tmdb-tving-tv-300432
웨이브,오리지널,비형전: 도깨비의 주인,시리즈,2025-10-02,"황재욱, 이차민, 강찬우, 남택준, Seo Hee-sun","드라마, Sci-Fi & Fantasy",tmdb-wavve-tv-300432
티빙,오리지널,나는 최애를 고르는 중입니다,시리즈,2025-09-29,"임현주, 김은호, 손민호, 김한영, 천우진",드라마,tmdb-tving-tv-305763
웨이브,오리지널,단죄,시리즈,2025-09-24,"이주영, 지승현, 준회, 서진원, 이지하",범죄,tmdb-wavve-tv-278904
티빙,오리지널,최애가 나타났다?!,시리즈,2025-08-28,"박진우, 김강민, 신성하, 김흥준, 한정훈","코미디, 드라마",tmdb-tving-tv-298281
웨이브,오리지널,아이 킬 유,시리즈,2025-08-22,"강지영, 이기광, 엄태웅, 유승목, 이소진",미스터리,tmdb-wavve-tv-298992
티빙,오리지널,하프 오브 미,시리즈,2025-08-18,"모건후, 최민서, 손상준, 조지민, 한동우","드라마, Sci-Fi & Fantasy",tmdb-tving-tv-315998
티빙,오리지널,불륜은 불륜으로 갚겠습니다,시리즈,2025-08-18,"백수희, 조찬현, Kim Sang-hee, Jung Ha-kyung",드라마,tmdb-tving-tv-310066
웨이브,오리지널,석삼플레이,예능,2025-08-12,"지석진, 전소민, 이상엽, 이미주",Reality,tmdb-wavve-tv-298177
티빙,오리지널,더 터치,시리즈,2025-08-11,"김동원, 배은우",드라마,tmdb-tving-tv-320603
티빙,오리지널,"닥쳐, 내 작품의 빌런은 너야",시리즈,2025-08-04,"박유나, Park Hae-in, Sung Yi Un, Shon Min-ho, 모건후","드라마, 범죄",tmdb-tving-tv-310061
티빙,오리지널,이웃집 킬러,시리즈,2025-08-04,"차학연, 강리한, 김해준, 임유빈",드라마,tmdb-tving-tv-298493
웨이브,오리지널,벌크 업,시리즈,2025-07-25,"오진석, 이재빈, 이윤, 최예진, 송예빈",드라마,tmdb-wavve-tv-299382
웨이브,오리지널,S라인,시리즈,2025-07-11,"이수혁, 아린, 이다희, 이은샘, 김동영","Sci-Fi & Fantasy, 드라마, 미스터리",tmdb-wavve-tv-232402
티빙,오리지널,이대형의 크보랩,시리즈,2025-07-07,,,tmdb-tving-tv-297234
웨이브,오리지널,남주서치,시리즈,2025-06-27,"갈소원, 이진우, 차준호, 이가은, 변성태","드라마, 코미디, Soap",tmdb-wavve-tv-294925
티빙,오리지널,러닝메이트,시리즈,2025-06-19,"윤현수, 이정식, 김지우, 최우성, 홍화연",드라마,tmdb-tving-tv-230775
티빙,오리지널,풋풋한 로맨스,시리즈,2025-06-12,"이채연, Son Dong Ju, 최정윤, 손동명, Park Ji Eun",드라마,tmdb-tving-tv-293670
웨이브,오리지널,ONE: 하이스쿨 히어로즈,시리즈,2025-05-30,"이정하, 김도완, 김상호, 김주령, 신준섭","Action & Adventure, 드라마",tmdb-wavve-tv-233219
티빙,오리지널,브레인 아카데미,예능,2025-05-29,"전현무, 하석진, 이상엽, 윤소희, 황제성",Reality,tmdb-tving-tv-292689
웨이브,오리지널,브레인 아카데미,예능,2025-05-29,"전현무, 하석진, 이상엽, 윤소희, 황제성",Reality,tmdb-wavve-tv-292689
티빙,오리지널,"아이돌, 남친!",시리즈,2025-05-23,"민도희, 이선, 최상민",코미디,tmdb-tving-tv-298645
티빙,오리지널,샤크: 더 스톰,시리즈,2025-05-15,"김민석, 이현욱, 정원창, 배명진, 이정현","드라마, 범죄, Action & Adventure",tmdb-tving-tv-212957
티빙,오리지널,KCON JAPAN 2025,예능,2025-05-09,,Reality,tmdb-tving-tv-297173
웨이브,오리지널,우리 지금 만나,시리즈,2025-05-01,유인나,,tmdb-wavve-tv-290344
웨이브,오리지널,더 프롬프트 : 넥스트 드라마,시리즈,2025-04-29,,,tmdb-wavve-tv-290627
웨이브,오리지널,너의 연애,예능,2025-04-25,,Reality,tmdb-wavve-tv-289965
티빙,오리지널,밥친구들! 밥먹으러 왔습니다,시리즈,2025-04-20,"이원일, 히밥, 박광재",,tmdb-tving-tv-289413
웨이브,오리지널,밥친구들! 밥먹으러 왔습니다,시리즈,2025-04-20,"이원일, 히밥, 박광재",,tmdb-wavve-tv-289413
티빙,오리지널,길바닥 밥장사,예능,2025-04-08,"파브리, 신현지, 배인혁, 전소미, 류수영",Reality,tmdb-tving-tv-288474
티빙,오리지널,내가 죽기 일주일 전,시리즈,2025-04-03,"공명, 김민하, 정건주, 오우리, 고창석","Sci-Fi & Fantasy, 드라마",tmdb-tving-tv-239077
웨이브,오리지널,풍미로그: Fish sauce,시리즈,2025-03-28,김풍,,tmdb-wavve-tv-287525
웨이브,오리지널,챗 하츠투하츠,예능,2025-03-26,"스텔라, 주은, 에이나, 이안, 지우",Reality,tmdb-wavve-tv-287471
웨이브,오리지널,허식당,시리즈,2025-03-24,"시우민, 엑시, 이세온, 이수민, 오지호","드라마, Sci-Fi & Fantasy",tmdb-wavve-tv-285872
웨이브,오리지널,Life's Game,예능,2025-03-05,,Reality,tmdb-wavve-tv-290717
웨이브,오리지널,찌질의 역사,시리즈,2025-02-26,"조병규, 려운, 정재광, 정용주, 송하윤",드라마,tmdb-wavve-tv-250860
티빙,오리지널,김성근의 겨울방학,시리즈,2025-02-17,"김성근, 정근우",,tmdb-tving-tv-284628
웨이브,오리지널,AI히치하이커,시리즈,2025-02-16,,,tmdb-wavve-tv-284613
티빙,오리지널,춘화연애담,시리즈,2025-02-06,"고아라, 장률, 강찬희, 손우현, 한승연",드라마,tmdb-tving-tv-224733
티빙,오리지널,스터디그룹,시리즈,2025-01-23,"황민현, 이종현, 공도유, 신수현, 차우민","Action & Adventure, 코미디, 드라마",tmdb-tving-tv-233347
티빙,오리지널,원경: 단오의 인연,시리즈,2025-01-21,"차주영, 이현욱",드라마,tmdb-tving-tv-282101
티빙,오리지널,괴담부락,애니메이션,2025-01-20,,애니메이션,tmdb-tving-tv-282487
웨이브,오리지널,괴담부락,애니메이션,2025-01-20,,애니메이션,tmdb-wavve-tv-282487
티빙,오리지널,FC 솔드아웃,시리즈,2025-01-17,"고덕원, 박종훈, 황윤제, 홍동건, 이지한",드라마,tmdb-tving-tv-282578
웨이브,오리지널,FC 솔드아웃,시리즈,2025-01-17,"고덕원, 박종훈, 황윤제, 홍동건, 이지한",드라마,tmdb-wavve-tv-282578
티빙,오리지널,식스센스 B사이드,예능,,"유재석, 송은이, 고경표, 비비","예능, 리얼리티 #추리",tvingads-tving-식스센스B사이드
티빙,오리지널,대탈출 : 더 스토리 시즌2 (가제),협찬,,"김종민, 김동현, 신동, 유병재, 고경표, 승관","협찬, 예능, 추리 #서스펜스",tvingads-tving-대탈출:더스토리시즌2(가제)
웨이브,오리지널,더 커뮤니티 2 : 보이지 않는 손,예능,,"김건희, 넉스, 박세승, 박철현, 승우아빠, 신혜원, 이수민, 이재용, 이지나, 이한, 이현선, 임지은, 정재호","예능, 서바이벌 #두뇌게임",tvingads-wavve-더커뮤니티2:보이지않는손
